Year,Region Code,Region Name,total,Illiterate,literate_noschool,primary,primary_jun,junior_high,Highschool,university,unknown
2000,TR,Türkiye,98862,2239,2649,71195,,10714,9932,2133,
2001,TR,Türkiye,112155,2553,2614,80511,,12594,11631,2252,
2002,TR,Türkiye,98860,2783,2404,68769,,11878,10875,2151,
2003,TR,Türkiye,99754,2974,2440,68085,82,12554,11307,2312,
2004,TR,Türkiye,101179,3286,2406,67444,276,12628,12453,2686,
2005,TR,Türkiye,52539,1958,1744,34527,197,6485,6244,1384,
2006,TR,Türkiye,77673,2369,2047,49850,740,9347,10859,2461,
2007,TR,Türkiye,127137,3085,2396,72811,9708,15266,19461,4410,
2008,TR,Türkiye,76571,2136,1795,42677,8287,8076,11041,2559,
2009,TR,Türkiye,74404,2040,2375,31715,10377,7356,12675,2992,4874
2010,TR,Türkiye,88480,900,4418,23950,23313,7746,17940,3950,6263
2011,TR,Türkiye,80096,846,4441,21971,20363,7060,15878,3559,5978
2012,TR,Türkiye,115496,1078,6929,30509,33193,9669,21546,4438,8134
2013,TR,Türkiye,161711,1608,11489,42601,48814,13129,28633,5865,9572
2014,TR,Türkiye,170731,1551,12581,39689,51195,19664,31385,6170,8496
2015,TR,Türkiye,168726,1455,11217,38619,50205,18560,36623,6396,5651
2016,TR,Türkiye,187729,2048,13012,43853,57979,22289,40026,8098,424
2017,TR,Türkiye,215761,1579,11998,41755,78162,24961,45508,9857,1941
2018,TR,Türkiye,266889,1820,11774,43875,98140,36880,57857,13914,2629
2019,TR,Türkiye,281605,2027,10514,41843,55152,84925,63940,20653,2551