country,year,prison_total,prison_rate
turkey,1990,"45,606",81
turkey,1995,"46,091",74
turkey,2000,"49,512",73
turkey,2002,"59,429",85
turkey,2004,"57,930",81
turkey,2006,"70,277",101
turkey,2008,"103,235",144
turkey,2010,"120,814",164
turkey,2012,"136,020",180
turkey,2014,"158,837",204
turkey,2016,"200,339",251
turkey,2018,"264,842",324
turkey,2020,"281,190",344
germany,1993,"59,833",74
germany,1996,"64,680",79
germany,1998,"69,917",85
germany,2000,"70,252",85
germany,2002,"70,977",86
germany,2004,"79,452",96
germany,2006,"76,629",93
germany,2008,"72,259",88
germany,2010,"69,385",85
germany,2012,"65,889",82
germany,2014,"61,872",76
germany,2016,"62,865",76
germany,2018,"63,643",77
germany,2020,"63,650",77
italy,1990,"26,150",46
italy,1995,"46,908",83
italy,2000,"53,165",93
italy,2002,"55,670",97
italy,2004,"56,068",96
italy,2006,"39,005",66
italy,2008,"58,127",97
italy,2010,"67,961",112
italy,2012,"65,701",110
italy,2014,"53,623",88
italy,2016,"54,653",90
italy,2018,"59,655",99
italy,2020,"57,847",96
greece,1990,"5,270",52
greece,1995,"5,891",55
greece,2000,"7,625",70
greece,2002,"8,507",78
greece,2004,"8,726",79
greece,2006,"9,964",90
greece,2008,"11,645",104
greece,2010,"11,364",102
greece,2012,"12,479",113
greece,2014,"12,693",116
greece,2016,"9,611",89
greece,2018,"10,011",93
greece,2020,"11,195",104
france,1990,"43,913",78
france,1995,"51,623",89
france,2000,"48,049",82
france,2002,"45,319",76
france,2004,"55,355",91
france,2006,"55,633",91
france,2008,"59,468",96
france,2011,"62,467",99
france,2014,"72,796",114
france,2016,"71,190",110
france,2018,"74,244",114
france,2020,"67,731",104
hungary,1990,"12,319",119
hungary,1995,"12,455",121
hungary,2000,"15,539",152
hungary,2002,"17,838",176
hungary,2004,"16,543",164
hungary,2006,"14,821",147
hungary,2008,"14,743",147
hungary,2010,"16,328",163
hungary,2012,"17,179",173
hungary,2014,"17,890",182
hungary,2016,"17,658",180
hungary,2018,"16,303",167
hungary,2020,"16,400",167
usa,1990,"1,148,702",457
usa,1995,"1,585,586",592
usa,2000,"1,937,482",683
usa,2002,"2,033,022",703
usa,2004,"2,135,335",725
usa,2006,"2,258,792",752
usa,2008,"2,307,504",755
usa,2010,"2,270,142",731
usa,2012,"2,228,424",707
usa,2014,"2,217,947",693
usa,2016,"2,021,600",655
usa,2020,"1,818,700",654
mexico,1990,"93,119",110
mexico,1995,"93,574",101
mexico,1998,"128,902",133
mexico,2000,"154,765",156
mexico,2002,"172,888",169
mexico,2004,"193,889",186
mexico,2006,"210,140",197
mexico,2008,"219,754",202
mexico,2010,"219,027",191
mexico,2012,"239,089",203
mexico,2014,"255,638",212
mexico,2016,"217,868",176
mexico,2018,"197,988",156
mexico,2020,"200,526",158
uk e&w,1990,"45,636",90
uk e&w,1995,"51,047",100
uk e&w,2000,"64,602",124
uk e&w,2002,"70,861",135
uk e&w,2004,"74,657",141
uk e&w,2006,"78,150",145
uk e&w,2008,"82,636",152
uk e&w,2010,"84,725",153
uk e&w,2012,"86,634",153
uk e&w,2014,"85,307",149
uk e&w,2016,"85,348",146
uk e&w,2018,"82,773",140
uk e&w,2020,"85,839",135
azerbaijan,1997,"24,851",317
azerbaijan,2000,"23,504",291
azerbaijan,2002,"21,293",260
azerbaijan,2004,"17,845",214
azerbaijan,2006,"19,559",229
azerbaijan,2008,"20,986",236
azerbaijan,2010,"21,971",241
azerbaijan,2012,"20,782",222
azerbaijan,2014,"22,526",235
azerbaijan,2016,"22,938",235
azerbaijan,2018,"21,861",219
poland,1990,"50,165",132
poland,1995,"61,136",160
poland,2000,"70,544",184
poland,2002,"80,467",211
poland,2004,"80,368",211
poland,2006,"88,647",232
poland,2008,"83,152",218
poland,2010,"80,728",212
poland,2012,"84,156",221
poland,2014,"77,371",204
poland,2016,"71,528",188
poland,2018,"72,204",190
poland,2020,74104,195
israel,1990,"8,622",189
israel,1995,"7,909",146
israel,2000,"9,421",158
israel,2002,"10,922",174
israel,2004,"13,605",208
israel,2006,"20,628",302
israel,2008,"21,894",305
israel,2010,"20,164",270
israel,2012,"20,195",263
israel,2014,"20,780",264
israel,2016,"20,368",253
israel,2020,18838,234