province,highschool,college
Adana,303741,76882
Adıyaman,59897,14435
Afyon,106491,24494
Ağrı,36860,7324
Aksaray,13580,10343
Amasya,58425,13375
Ankara,1148568,403452
Antalya,372465,125323
Ardahan,15397,3047
Artvin,32634,7505
Aydın,131643,41815
Balıkesir,170171,49355
Bartın,18488,5336
Batman,38673,7909
Bayburt,10762,2555
Bilecik,32225,6929
Bingöl,25479,5424
Bitlis,34503,7751
Bolu,45248,11684
Burdur,39265,10914
Bursa,370775,100258
Çanakkale,77029,21692
Çankırı,40700,8679
Çorum,57233,16338
Denizli,121634,36755
Diyarbakır,132450,30313
Düzce,34553,982
Edirne,72055,18976
Elazığ,81771,22553
Erzincan,55901,11668
Erzurum,34128,3074
Eskişehir,156870,41744
Gaziantep,124243,31377
Giresun,77304,16944
Gümüşhane,24548,5105
Hakkari,25758,4833
Hatay,155344,38089
Iğdır,17032,4108
Isparta,101913,24924
İstanbul,2177483,707696
İzmir,725295,241338
Kahramanmaraş,100751,28275
Karabük,26405,9519
Karaman,29565,7587
Kars,40931,8575
Kastamonu,41346,11092
Kayseri,162168,43285
Kilis,11628,2978
Kırıkkale,69716,12596
Kırklareli,59357,15154
Kırşehir,30681,87
Kocaeli,219692,52858
Konya,241524,74153
Kütahya,67366,19862
Malatya,150368,35574
Manisa,139973,37533
Mardin,59127,12021
Mersin (İçel),279281,74113
Muğla,139649,46932
Muş,31708,6165
Nevşehir,32460,10657
Niğde,35541,1091
Ordu,106217,22867
Osmaniye,73638,15637
Rize,54664,12698
Sakarya,86024,2558
Samsun,132808,43859
Şanlıurfa,106988,24885
Siirt,18466,498
Sinop,23973,7324
Sivas,112016,24477
Şırnak,28075,5583
Tekirdağ,113079,28894
Tokat,46242,22702
Trabzon,192682,45497
Tunceli,19830,3693
Uşak,42996,11229
Van,30665,15628
Yalova,33637,9296
Yozgat,81025,16284
Zonguldak,69609,2251