province,2000,2001,2002,2003
Adana,2956,2043,2329,3156
Adiyaman,1886,1272,1465,1972
Afyonkarahisar,2149,1548,1769,2379
Agri,1088,772,907,1248
Aksaray,3079,2159,2441,3271
Amasya,2485,1813,2109,2822
Ankara,6645,4910,5573,7303
Antalya,5081,3401,3789,5043
Ardahan,1465,1065,1257,1718
Artvin,2733,1919,2219,3021
Aydin,3028,2012,2229,3011
Balikesir,3004,2072,2391,3227
Bartin,2385,1670,1935,2640
Batman,2347,1502,1719,2368
Bayburt,2378,1638,1877,2569
Bilecik,3954,2818,3292,4401
Bingol,2488,1721,1980,2712
Bitlis,1402,964,1143,1587
Bolu,4388,3123,3580,4680
Burdur,2742,1871,2112,2835
Bursa,4626,3234,3708,4960
canakkale,3840,2644,3136,4252
cankiri,2619,1902,2238,2995
corum,2196,1619,1900,2550
Denizli,3686,2493,2807,3850
Diyarbakir,2095,1416,1654,2264
Duzce,3618,2600,3036,4078
Edirne,3251,2259,2612,3459
Elazig,2729,1889,2091,2786
Erzincan,3673,2550,2890,3914
Erzurum,2037,1459,1713,2340
Eskisehir,5187,3727,4254,5514
Gaziantep,3247,2203,2530,3426
Giresun,2299,1583,1817,2474
Gumushane,2917,1992,2223,2949
Hakkari,1827,1234,1410,1922
Hatay,1559,1316,2056,1931
Igdir,1697,1148,1361,1945
Isparta,2190,1508,1699,2260
istanbul,8110,6168,7043,9265
izmir,3444,2866,4050,4067
Kahramanmaras,2290,1593,1814,2472
Karabuk,3413,2439,2819,3722
Karaman,4467,3104,3576,4821
Kars,1811,1312,1533,2073
Kastamonu,2871,2061,2415,3220
Kayseri,4995,3538,3948,5322
Kirikkale,2797,2100,2454,3293
Kirklareli,4040,2771,3190,4205
Kirsehir,2994,2149,2425,3243
Kilis,2102,1421,1659,2296
Kocaeli,8087,5780,6632,9044
Konya,3680,2584,2929,3944
Kutahya,2448,1753,2018,2713
Malatya,2481,1724,1944,2660
Manisa,2936,2016,2286,3088
Mardin,1869,1277,1525,2116
Mersin,3612,2435,2744,3671
Mugla,4969,3316,3671,4947
Mus,1470,1035,1233,1697
Nevsehir,2747,1965,2139,2974
Nigde,2483,1764,2019,2753
Ordu,1921,1354,1574,2134
Osmaniye,2115,1420,1611,2191
Rize,3733,2555,2880,3901
Sakarya,3911,2746,3169,4310
Samsun,2695,1911,2244,3103
Siirt,1837,1192,1349,1844
Sinop,2243,1586,1891,2514
Sivas,2543,1748,1982,2716
sanliurfa,1873,1263,1479,1985
sirnak,2463,1663,1927,2610
Tekirdag,6092,4184,4656,5975
Tokat,1831,1311,1536,2100
Trabzon,3022,2066,2310,3114
Tunceli,3718,2616,2987,4033
Usak,2433,1710,1922,2590
Van,1500,1015,1169,1615
Yalova,4996,3429,3836,5142
Yozgat,1883,1405,1625,2204
Zonguldak,2245,1568,1837,2596