YIL,BÖLGE KODU,BÖLGE ADI,Toplam,Okuma yazma bilmeyen,Okuryazar olup bir okul bitirmeyen,Ýlkokul,Ýlköðretim,Ortaokul ve dengi meslek okulu,Lise ve dengi meslek okulu,Fakülte ve yüksekokul,Bilinmeyen
2019,TRA11,Erzurum,2190,19,61,270,364,651,528,288,9
2019,TRA12,Erzincan,702,10,22,70,152,216,151,71,10
2019,TRA13,Bayburt,180,1,1,10,34,44,54,36,-
2019,TRA21,Agri,1526,38,138,271,237,453,268,104,17
2019,TRA22,Kars,873,9,33,126,178,223,225,77,2
2019,TRA23,Igdir,755,11,45,129,152,213,159,43,3
2019,TRA24,Ardahan,335,-,8,48,58,71,90,58,2
2019,TRB11,Malatya,2090,16,51,198,352,683,524,261,5
2019,TRB12,Elazig,1817,11,67,153,283,642,434,218,9
2019,TRB13,Bingöl,547,3,21,59,73,181,143,67,-
2019,TRB14,Tunceli,226,1,4,24,28,59,77,33,-
2019,TRB21,Van,2441,44,185,411,463,718,482,118,20
2019,TRB22,Mus,741,8,56,100,120,216,159,79,3
2019,TRB23,Bitlis,883,10,29,111,181,274,185,89,4
2019,TRB24,Hakkari,443,5,16,65,49,143,136,27,2
2019,TRC11,Gaziantep,7884,59,466,1189,1963,2466,1258,359,124
2019,TRC12,Adiyaman,1251,17,42,118,224,364,291,190,5
2019,TRC13,Kilis,683,20,33,79,186,197,123,32,13
2019,TRC21,Sanliurfa,4376,127,374,560,887,1292,737,361,38
2019,TRC22,Diyarbakir,4713,61,374,577,837,1548,1050,253,13
2019,TRC31,Mardin,1548,27,94,173,201,554,330,159,10
2019,TRC32,Batman,1126,15,109,111,188,419,211,71,2
2019,TRC33,Sirnak,1389,20,82,179,224,493,263,126,2
2019,TRC34,Siirt,618,11,45,55,99,234,119,54,1
2019,TR100,Istanbul,47091,379,2373,7903,8846,13819,10173,2787,811
2019,TR211,Tekirdag,3283,23,136,489,765,1083,649,125,13
2019,TR212,Edirne,2188,20,93,357,439,650,435,164,30
2019,TR213,Kirklareli,1367,5,74,240,315,383,259,85,6
2019,TR221,Balikesir,5414,31,175,874,1050,1615,1236,400,33
2019,TR222,Çanakkale,2190,11,75,355,437,600,496,206,10
2019,TR310,Izmir,21452,77,802,3710,4079,6418,4666,1546,154
2019,TR321,Aydin,5939,25,186,1018,1359,1764,1213,346,28
2019,TR322,Denizli,5056,18,98,829,1078,1453,1199,362,19
2019,TR323,Mugla,4515,10,77,745,763,1298,1173,414,35
2019,TR331,Manisa,6642,26,177,1223,1344,1820,1249,782,21
2019,TR332,Afyonkarahisar,3218,17,84,431,630,1000,710,330,16
2019,TR333,Kütahya,1757,6,28,209,370,462,399,276,7
2019,TR334,Usak,1540,4,25,199,378,448,333,145,8
2019,TR411,Bursa,9726,71,368,1377,2123,2919,2251,532,85
2019,TR412,Eskisehir,2765,20,68,295,499,874,800,192,17
2019,TR413,Bilecik,832,10,17,103,165,252,209,72,4
2019,TR421,Kocaeli,5445,33,128,645,1134,1790,1301,379,35
2019,TR422,Sakarya,4140,29,75,562,919,1270,1050,215,20
2019,TR423,Düzce,1539,5,22,209,345,470,348,131,9
2019,TR424,Bolu,1112,8,19,151,228,292,337,73,4
2019,TR425,Yalova,898,6,30,98,181,250,206,125,2
2019,TR510,Ankara,13580,56,383,1677,2430,4436,3554,926,118
2019,TR521,Konya,9134,59,221,1553,1841,2824,1801,755,80
2019,TR522,Karaman,1248,2,20,174,269,417,279,82,5
2019,TR611,Antalya,12874,36,409,1977,2274,3728,3384,935,131
2019,TR612,Isparta,2346,10,29,247,386,686,649,324,15
2019,TR613,Burdur,1172,3,21,198,249,303,280,110,8
2019,TR621,Adana,10189,103,544,1504,1951,3207,2272,516,92
2019,TR622,Mersin,7261,61,321,1163,1338,2188,1705,425,60
2019,TR631,Hatay,4788,75,217,821,969,1381,980,259,86
2019,TR632,Kahramanmaras,2788,32,71,343,549,844,610,301,38
2019,TR633,Osmaniye,1865,15,79,228,353,559,475,138,18
2019,TR711,Kirikkale,873,4,36,73,174,251,266,63,6
2019,TR712,Aksaray,1495,12,24,236,326,472,282,133,10
2019,TR713,Nigde,1275,3,31,187,300,393,266,90,5
2019,TR714,Nevsehir,1149,14,27,156,253,328,282,78,11
2019,TR715,Kirsehir,666,6,5,74,133,187,182,74,5
2019,TR721,Kayseri,5700,51,156,676,1122,1869,1357,417,52
2019,TR722,Sivas,1978,9,61,206,373,664,497,155,13
2019,TR723,Yozgat,914,7,11,123,181,264,239,83,6
2019,TR811,Zonguldak,1931,6,26,267,519,520,492,92,9
2019,TR812,Karabük,738,6,9,64,187,205,209,56,2
2019,TR813,Bartin,555,1,3,61,126,144,146,68,6
2019,TR821,Kastamonu,986,2,17,161,230,261,255,55,5
2019,TR822,Çankiri,381,6,12,32,93,112,86,33,7
2019,TR823,Sinop,745,1,9,102,169,214,175,75,-
2019,TR831,Samsun,5482,19,101,789,1098,1764,1329,361,21
2019,TR832,Tokat,1525,6,29,205,301,444,359,174,7
2019,TR833,Çorum,1781,9,42,256,338,577,381,174,4
2019,TR834,Amasya,1397,2,16,175,278,417,361,147,1
2019,TR901,Trabzon,1903,6,20,203,337,497,606,224,10
2019,TR902,Ordu,2255,11,44,382,435,660,566,143,14
2019,TR903,Giresun,1293,6,15,222,237,323,356,124,10
2019,TR904,Rize,1118,3,11,119,225,322,318,105,15
2019,TR905,Artvin,476,3,4,45,87,99,159,73,6
2019,TR906,Gümüshane,253,1,1,26,40,74,87,24,-

Not1:	Suçun iþlendiði yer yabancý ülke olan ve bilinmeyenler Türkiye toplamýnda verilmiþtir.	
Not2:	1 Ocak - 31 Aralýk arasýnda faaliyet gösteren ceza infaz kurumlarýný  kapsamaktadýr.	
