province,district,2000,2001,2002,2003,2004,2005,2006,2007
adana,aladag,23579,22820,22061,21302,20163,19024,18265,17506
adana,ceyhan,178543,176033,173522,171012,167246,163480,160970,158459
adana,feke,20890,20715,20540,20365,20102,19839,19664,19489
adana,imamoglu,43361,41895,40428,38962,36762,34562,33096,31629
adana,karaisali,35122,34324,33527,32729,31532,30336,29538,28740
adana,karatas,32375,31014,29653,28291,26250,24208,22846,21485
adana,kozan,130875,130013,129151,128289,126997,125704,124842,123980
adana,pozanti,21756,21524,21291,21059,20710,20361,20129,19896
adana,saimbeyli,17149,17227,17306,17384,17501,17619,17697,17775
adana,seyhan,849283,869122,888960,908799,938557,968315,988153,1007992
adana,tufanbeyli,20171,19935,19698,19462,19107,18752,18516,18279
adana,yumurtalik,22575,22148,21720,21293,20652,20010,19583,19155
adana,yuregir,453799,462357,470916,479474,492311,505149,513707,522265
adiyaman,besni,108667,105142,101617,98092,92806,87518,83993,80468
adiyaman,celikhan,20271,19681,19090,18500,17614,16728,16138,15547
adiyaman,gerger,27208,27033,26859,26684,26423,26160,25986,25811
adiyaman,golbasi,52988,52275,51562,50849,49780,48710,47997,47284
adiyaman,kahta,114994,115077,115160,115243,115368,115492,115575,115658
adiyaman,merkez,249530,250152,250774,251396,252329,253261,253883,254505
adiyaman,samsat,12541,12268,11995,11722,11312,10902,10629,10356
adiyaman,sincik,21828,21766,21705,21643,21551,21458,21397,21335
adiyaman,tut,15784,15286,14788,14289,13542,12795,12296,11798
afyonkarahisar,basmakci,15084,14615,14145,13676,12972,12268,11798,11329
afyonkarahisar,bayat,8753,8820,8887,8953,9054,9154,9220,9287
afyonkarahisar,bolvadin,79888,75717,71546,67375,61119,54862,50691,46520
afyonkarahisar,cay,45635,44415,43195,41975,40146,38316,37096,35876
afyonkarahisar,cobanlar,12364,12455,12546,12637,12774,12910,13001,13092
afyonkarahisar,dazkiri,15620,15063,14506,13949,13115,12279,11722,11165
afyonkarahisar,dinar,88304,83555,78806,74057,66933,59809,55060,50311
afyonkarahisar,emirdag,47396,47246,47097,46947,46723,46498,46349,46199
afyonkarahisar,evciler,9486,9376,9267,9157,8993,8828,8719,8609
afyonkarahisar,hocalar,12824,12681,12539,12396,12183,11968,11826,11683
afyonkarahisar,ihsaniye,33220,32886,32553,32219,31718,31218,30884,30550
afyonkarahisar,iscehisar,21978,22245,22512,22779,23180,23580,23847,24114
afyonkarahisar,kiziloren,4132,3977,3821,3666,3433,3200,3044,2889
afyonkarahisar,merkez,201110,205322,209534,213746,220065,226383,230595,234807
afyonkarahisar,sandikli,76618,74771,72924,71077,68308,65537,63690,61843
afyonkarahisar,sincanli,58536,56550,54565,52579,49601,46622,44637,42651
afyonkarahisar,suhut,59284,56974,54663,52353,48887,45421,43111,40800
afyonkarahisar,sultandagi,22184,21892,21600,21308,20870,20431,20139,19847
agri,diyadin,40768,41414,42060,42706,43676,44645,45291,45937
agri,dogubeyazit,105754,106447,107140,107833,108874,109913,110606,111299
agri,eleskirt,48892,47889,46886,45883,44378,42873,41870,40867
agri,hamur,22052,22142,22232,22321,22456,22591,22680,22770
agri,merkez,119743,121474,123205,124936,127534,130130,131861,133592
agri,patnos,135100,133273,131445,129618,126877,124135,122308,120480
agri,taslicay,21839,21948,22058,22167,22332,22495,22605,22714
agri,tutak,34596,34424,34252,34080,33822,33564,33392,33220
aksaray,agacoren,15869,15369,14869,14369,13620,12870,12370,11870
aksaray,eskil,28952,28619,28286,27952,27453,26953,26619,26286
aksaray,gulagac,26874,26253,25632,25011,24080,23148,22527,21906
aksaray,guzelyurt,16836,16505,16174,15843,15347,14850,14519,14188
aksaray,merkez,236560,237495,238429,239364,240766,242167,243102,244036
aksaray,ortakoy,58873,56574,54274,51975,48526,45076,42777,40477
aksaray,sariyahsi,12120,11523,10927,10330,9435,8540,7943,7346
amasya,goynucek,17614,17090,16567,16043,15258,14472,13949,13425
amasya,gumushacikoy,29795,29275,28754,28234,27454,26673,26152,25632
amasya,hamamozu,6161,6049,5937,5825,5657,5488,5376,5264
amasya,merkez,133207,133137,133067,132997,132892,132786,132716,132646
amasya,merzifon,67281,67508,67734,67961,68301,68640,68867,69093
amasya,suluova,54123,53286,52449,51612,50358,49102,48265,47428
amasya,tasova,57050,54317,51584,48851,44752,40652,37919,35186
ankara,akyurt,18907,19463,20019,20575,21409,22242,22798,23354
ankara,altindag,407101,402555,398010,393464,386645,379827,375281,370735
ankara,ayas,21239,20229,19219,18209,16694,15179,14169,13159
ankara,bala,39714,37688,35662,33636,30597,27557,25531,23505
ankara,beypazari,51841,51221,50602,49982,49053,48123,47504,46884
ankara,camlidere,15339,14588,13837,13085,11959,10832,10080,9329
ankara,cankaya,769331,772188,775046,777903,782189,786475,789332,792189
ankara,cubuk,75119,76207,77296,78384,80017,81649,82738,83826
ankara,elmadag,43374,43954,44534,45114,45984,46853,47433,48013
ankara,etimesgut,171293,186082,200870,215659,237842,260024,274813,289601
ankara,evren,6167,5900,5632,5365,4964,4562,4295,4027
ankara,golbasi,62602,63986,65369,66753,68828,70903,72287,73670
ankara,gudul,20938,19655,18373,17090,15166,13242,11959,10676
ankara,haymana,54087,52240,50393,48546,45775,43004,41157,39310
ankara,kalecik,24738,23772,22805,21839,20390,18940,17973,17007
ankara,kazan,29692,30499,31306,32113,33323,34533,35340,36147
ankara,kecioren,672817,694157,715497,736836,768846,800856,822195,843535
ankara,kizilcahamam,33623,32581,31539,30497,28935,27372,26330,25288
ankara,mamak,430606,439738,448870,458002,471701,485399,494531,503663
ankara,nallihan,40677,39563,38450,37336,35666,33995,32882,31768
ankara,polatli,116400,116657,116914,117170,117556,117941,118197,118454
ankara,sincan,289783,257911,226039,194167,146360,98552,66680,34808
ankara,skochisar,59128,103366,147604,191841,258198,324555,368792,413030
ankara,yenimahalle,553344,561023,568703,576382,587901,599420,607099,614778
antalya,akseki,42467,38861,35256,31650,26241,20833,17227,13621
antalya,alanya,257671,253742,249812,245883,239989,234095,230165,226236
antalya,elmali,40041,38137,36233,34329,31473,28617,26713,24809
antalya,finike,42087,41353,40619,39884,38783,37682,36947,36213
antalya,gazipasa,44541,44635,44730,44824,44966,45107,45202,45296
antalya,gundogmus,21513,24786,28060,31333,36243,41153,44426,47699
antalya,ibradi,10826,10654,10481,10309,10050,9791,9619,9446
antalya,kale,22170,19985,17801,15616,12340,9062,6878,4693
antalya,kas,47519,47783,48047,48310,48706,49102,49365,49629
antalya,kemer,55092,52350,49607,46865,42752,38638,35895,33153
antalya,korkuteli,51580,51152,50725,50297,49656,49014,48587,48159
antalya,kumluca,61370,61937,62504,63070,63921,64771,65337,65904
antalya,manavgat,199385,195101,190817,186533,180108,173682,169398,165114
antalya,merkez,714129,739059,763989,788919,826314,863708,888638,913568
antalya,serik,109360,108909,108459,108008,107333,106656,106206,105755
ardahan,cildir,14869,14498,14127,13756,13200,12643,12272,11901
ardahan,damal,8677,8543,8409,8275,8075,7874,7740,7606
ardahan,gole,37814,37104,36394,35684,34619,33554,32844,32134
ardahan,hanak,14873,14346,13819,13292,12501,11710,11183,10656
ardahan,merkez,44794,44298,43803,43307,42563,41820,41324,40828
ardahan,posof,12729,12337,11946,11554,10967,10379,9988,9596
artvin,ardanuc,14477,14161,13845,13529,13055,12580,12264,11948
artvin,arhavi,19347,19321,19294,19268,19229,19189,19162,19136
artvin,borcka,27654,27214,26774,26334,25674,25013,24573,24133
artvin,hopa,32584,32537,32490,32443,32374,32303,32256,32209
artvin,merkez,34572,34354,34136,33918,33591,33263,33045,32827
artvin,murgul,8543,8239,7936,7632,7177,6721,6418,6114
artvin,savsat,25624,24769,23913,23058,21775,20491,19636,18780
artvin,yusufeli,29133,28360,27586,26813,25653,24492,23719,22945
aydin,bozdogan,35190,35349,35508,35667,35907,36145,36304,36463
aydin,buharkent,12984,12927,12870,12813,12727,12641,12584,12527
aydin,cine,53770,53776,53783,53789,53798,53808,53814,53820
aydin,didim,37395,38004,38613,39222,40135,41048,41657,42266
aydin,germencik,45821,45569,45317,45064,44686,44308,44055,43803
aydin,incirliova,40733,40837,40941,41045,41202,41358,41462,41566
aydin,karacasu,21980,21913,21847,21780,21681,21580,21514,21447
aydin,karpuzlu,13207,13161,13114,13068,12999,12929,12882,12836
aydin,kocarli,37167,35924,34681,33437,31573,29708,28464,27221
aydin,kosk,25321,25536,25751,25965,26288,26610,26824,27039
aydin,kusadasi,65765,66737,67710,68682,70140,71599,72571,73543
aydin,kuyucak,31094,31024,30954,30884,30779,30674,30604,30534
aydin,merkez,208341,211284,214227,217170,221584,225998,228941,231884
aydin,nazilli,145963,145333,144703,144073,143128,142182,141552,140922
aydin,soke,137739,135014,132289,129564,125477,121389,118664,115939
aydin,sultanhisar,22795,22626,22458,22289,22037,21783,21615,21446
aydin,yenipazar,15492,15270,15048,14826,14493,14159,13937,13715
balikesir,ayvalik,58738,56737,54735,52734,49732,46729,44728,42726
balikesir,balya,18869,23840,28811,33782,41240,48696,53667,58638
balikesir,bandirma,120753,107748,94743,81738,62230,42722,29717,16712
balikesir,bigadic,49957,59788,69619,79449,94196,108942,118772,128603
balikesir,burhaniye,43199,44009,44818,45628,46843,48057,48866,49676
balikesir,dursunbey,47429,47576,47722,47869,48089,48309,48455,48602
balikesir,edremit,93351,87549,81748,75946,67244,58541,52740,46938
balikesir,erdek,32020,41470,50920,60370,74545,88720,98170,107620
balikesir,gomec,10983,13759,16534,19310,23473,27636,30412,33187
balikesir,gonen,71804,64217,56629,49042,37661,26280,18692,11105
balikesir,havran,26782,32549,38317,44084,52735,61386,67153,72920
balikesir,ivrindi,37891,36619,35346,34074,32165,30256,28984,27711
balikesir,kepsut,28022,29462,30902,32342,34502,36662,38102,39542
balikesir,manyas,25148,25256,25365,25473,25636,25798,25907,26015
balikesir,marmara,9446,11157,12868,14579,17147,19713,21424,23135
balikesir,merkez,287709,252820,217931,183042,130709,78375,43486,8597
balikesir,savastepe,23355,59639,95924,132208,186635,241061,277346,313630
balikesir,sindirgi,47784,44420,41055,37691,32644,27597,24233,20868
balikesir,susurluk,43107,42980,42852,42725,42534,42343,42215,42088
bartin,amasra,16122,16007,15891,15776,15603,15430,15314,15199
bartin,kurucasile,8742,8598,8455,8311,8096,7880,7737,7593
bartin,merkez,130492,131062,131632,132202,133057,133911,134481,135051
bartin,ulus,28822,28255,27689,27122,26272,25422,24855,24288
batman,besiri,33106,32924,32742,32560,32287,32013,31831,31649
batman,gercus,31994,31188,30383,29577,28369,27160,26355,25549
batman,hasankeyf,7493,7457,7422,7386,7332,7279,7243,7207
batman,kozluk,74635,72917,71198,69480,66903,64325,62606,60888
batman,merkez,272787,278184,283581,288978,297075,305170,310567,315964
batman,sason,36719,36033,35347,34661,33632,32602,31916,31230
bayburt,aydintepe,12614,11937,11261,10584,9569,8554,7877,7200
bayburt,demirozu,13477,12989,12500,12012,11280,10547,10058,9570
bayburt,merkez,71267,69839,68410,66982,64839,62696,61268,59839
bilecik,bozuyuk,60863,61319,61776,62232,62917,63601,64058,64514
bilecik,golpazari,13617,13397,13178,12958,12629,12299,12080,11860
bilecik,inhisar,6661,6314,5967,5620,5100,4579,4232,3885
bilecik,merkez,52929,54197,55466,56734,58636,60539,61807,63075
bilecik,osmaneli,21070,21064,21058,21052,21043,21034,21028,21022
bilecik,pazaryeri,13296,13169,13043,12916,12727,12536,12410,12283
bilecik,sogut,20974,21251,21527,21804,22219,22633,22910,23186
bilecik,yenipazar,4916,4796,4675,4555,4374,4193,4073,3952
bingol,adakli,10856,10830,10804,10778,10739,10699,10673,10647
bingol,genc,45994,44653,43312,41971,39961,37949,36608,35267
bingol,karliova,32421,32387,32353,32318,32267,32216,32181,32147
bingol,kigi,6780,6577,6375,6172,5869,5564,5362,5159
bingol,merkez,116411,118095,119780,121464,123990,126517,128201,129885
bingol,solhan,33604,33522,33439,33357,33234,33110,33027,32945
bingol,yayladere,4050,3805,3559,3314,2946,2578,2332,2087
bingol,yedisu,3623,3597,3571,3545,3506,3467,3441,3415
bitlis,adilcevaz,55358,53496,51635,49773,46980,44188,42326,40464
bitlis,ahlat,52814,50665,48516,46367,43145,39921,37772,35623
bitlis,guroymak,48118,47401,46685,45968,44894,43818,43102,42385
bitlis,hizan,42953,42578,42202,41827,41264,40700,40325,39949
bitlis,merkez,65169,64746,64324,63901,63267,62633,62210,61787
bitlis,mutki,39990,39342,38694,38046,37074,36101,35453,34805
bitlis,tatvan,84276,82851,81425,80000,77862,75724,74298,72873
bolu,dortdivan,9528,9226,8923,8621,8167,7713,7411,7108
bolu,gerede,41391,40523,39654,38786,37484,36181,35312,34444
bolu,goynuk,18589,18342,18094,17847,17476,17104,16857,16609
bolu,kibriscik,5534,5334,5134,4933,4633,4333,4132,3932
bolu,mengen,16504,16300,16097,15893,15588,15282,15079,14875
bolu,merkez,135009,137695,140381,143067,147097,151126,153812,156498
bolu,mudurnu,25148,24686,24224,23761,23068,22375,21912,21450
bolu,seben,8871,8634,8397,8159,7804,7448,7210,6973
bolu,yenicaga,10080,9886,9692,9498,9207,8916,8722,8528
burdur,aglasun,11393,11156,10920,10683,10329,9973,9737,9500
burdur,altinyayla,6793,6645,6497,6349,6128,5906,5758,5610
burdur,bucak,57950,58061,58172,58283,58449,58615,58726,58837
burdur,cavdir,15584,15270,14956,14642,14171,13700,13386,13072
burdur,celtikci,6758,6708,6657,6607,6531,6455,6405,6354
burdur,golhisar,21287,21281,21276,21270,21262,21253,21248,21242
burdur,karamanli,8152,8111,8069,8028,7966,7904,7862,7821
burdur,kemer,4714,4659,4604,4549,4466,4383,4328,4273
burdur,merkez,90060,90712,91364,92015,92993,93971,94622,95274
burdur,tefenni,11939,11770,11601,11432,11179,10925,10756,10587
burdur,yesilova,22173,21728,21283,20837,20170,19502,19056,18611
bursa,buyukorhan,16667,16359,16050,15742,15279,14816,14508,14199
bursa,gemlik,88472,89674,90875,92077,93880,95682,96883,98085
bursa,gursu,28087,30831,33575,36319,40435,44551,47295,50039
bursa,harmancik,10017,9807,9598,9388,9074,8759,8550,8340
bursa,inegol,186558,189278,191997,194717,198796,202875,205595,208314
bursa,iznik,44770,44738,44706,44674,44626,44578,44546,44514
bursa,karacabey,76887,77166,77444,77723,78141,78558,78837,79115
bursa,keles,18613,18281,17950,17618,17120,16623,16291,15959
bursa,kestel,44102,44146,44191,44235,44301,44368,44412,44456
bursa,mkemalpasa,101531,96636,91741,86845,79503,72160,67264,62369
bursa,mudanya,53965,59969,65974,71978,80985,89991,95996,102000
bursa,nilufer,178682,187765,196848,205930,219555,233179,242261,251344
bursa,orhaneli,30449,29743,29036,28330,27271,26211,25504,24798
bursa,orhangazi,68902,69493,70085,70676,71564,72450,73042,73633
bursa,osmangazi,642337,654049,665761,677473,695042,712610,724322,736034
bursa,yenisehir,54835,54384,53933,53482,52806,52129,51678,51227
bursa,yildirim,480266,492164,504062,515960,533807,551654,563552,575450
canakkale,ayvacik,30502,30488,30473,30459,30438,30416,30401,30387
canakkale,bayramic,32314,32196,32079,31961,31784,31608,31490,31372
canakkale,biga,77169,77469,77769,78069,78519,78969,79269,79569
canakkale,bozcaada,2427,2408,2389,2370,2343,2314,2295,2276
canakkale,can,52929,52809,52688,52568,52387,52206,52086,51965
canakkale,eceabat,9929,9875,9820,9766,9684,9602,9548,9493
canakkale,ezine,35301,35180,35060,34939,34759,34577,34457,34336
canakkale,gelibolu,46226,46354,46483,46611,46803,46996,47124,47252
canakkale,gokceada,8875,8850,8824,8799,8761,8723,8697,8672
canakkale,lapseki,26034,26180,26327,26473,26692,26912,27058,27204
canakkale,merkez,104205,105651,107098,108544,110713,112883,114329,115775
canakkale,yenice,39064,38909,38755,38600,38369,38136,37982,37827
cankiri,atkaracalar,9977,9225,8474,7722,6595,5467,4716,3964
cankiri,bayramoren,6617,6116,5615,5114,4362,3610,3109,2608
cankiri,cerkes,29619,27742,25865,23987,21172,18356,16478,14601
cankiri,eldivan,9301,8852,8404,7955,7282,6609,6160,5711
cankiri,ilgaz,27953,26149,24344,22540,19833,17126,15322,13517
cankiri,kizilirmak,11271,10965,10659,10353,9894,9435,9129,8823
cankiri,korgun,8911,8249,7587,6924,5931,4938,4275,3613
cankiri,kursunlu,26218,24013,21809,19604,16297,12990,10785,8580
cankiri,merkez,78638,78902,79166,79429,79825,80221,80484,80748
cankiri,orta,26206,24464,22722,20980,18368,15755,14013,12271
cankiri,sabanozu,14629,13896,13163,12429,11330,10230,9496,8763
cankiri,yaprakli,21015,19740,18465,17189,15277,13364,12088,10813
corum,alaca,53193,51640,50087,48534,46206,43876,42323,40770
corum,bayat,30574,30131,29689,29246,28582,27918,27475,27032
corum,bogazkale,8190,7878,7567,7255,6787,6320,6008,5696
corum,dodurga,10439,10171,9902,9634,9232,8829,8560,8292
corum,iskilip,45327,44971,44614,44258,43724,43189,42832,42476
corum,kargi,20388,19971,19554,19136,18511,17885,17467,17050
corum,lacin,9425,9129,8833,8537,8094,7650,7354,7058
corum,mecitozu,26064,25392,24720,24048,23041,22033,21361,20689
corum,merkez,221699,224437,227174,229912,234019,238125,240862,243600
corum,oguzlar,9083,8939,8795,8651,8435,8218,8074,7930
corum,ortakoy,11820,11556,11293,11029,10634,10238,9975,9711
corum,osmancik,53758,52755,51751,50748,49243,47737,46734,45730
corum,sungurlu,80840,78814,76788,74762,71723,68683,66657,64631
corum,ugurludag,16265,15377,14490,13602,12270,10939,10051,9163
denizli,acipayam,64410,63695,62979,62264,61191,60118,59402,58687
denizli,akkoy,6437,6626,6815,7004,7289,7572,7761,7950
denizli,babadag,8212,8050,7887,7725,7482,7238,7075,6913
denizli,baklan,8440,8471,8503,8534,8582,8628,8660,8691
denizli,bekilli,10577,10145,9713,9281,8634,7986,7554,7122
denizli,beyagac,7332,7895,8458,9020,9865,10709,11271,11834
denizli,bozkurt,11862,13802,15742,17681,20591,23501,25440,27380
denizli,buldan,26994,26639,26285,25930,25399,24866,24512,24157
denizli,cal,32932,31435,29937,28440,26194,23948,22450,20953
denizli,cameli,19100,17884,16668,15452,13628,11804,10588,9372
denizli,cardak,11236,17494,23752,30010,39398,48785,55043,61301
denizli,civril,62708,56422,50137,43851,34422,24994,18708,12422
denizli,guney,13718,15621,17524,19427,22281,25135,27038,28941
denizli,honaz,24533,24284,24035,23786,23414,23040,22791,22542
denizli,kale,21390,80586,139783,198979,287774,376568,435765,494961
denizli,merkez,400719,351282,301846,252409,178254,104099,54662,5225
denizli,saraykoy,36495,35687,34878,34070,32858,31645,30836,30028
denizli,serinhisar,22265,21403,20542,19680,18387,17095,16233,15371
denizli,tavas,60669,59770,58871,57971,56623,55274,54374,53475
diyarbakir,bismil,126885,124613,122340,120068,116660,113251,110978,108706
diyarbakir,cermik,46050,46716,47383,48049,49049,50048,50715,51381
diyarbakir,cinar,58583,59119,59655,60191,60995,61799,62335,62871
diyarbakir,cungus,15521,15327,15134,14940,14649,14359,14165,13971
diyarbakir,dicle,39861,40455,41048,41642,42533,43423,44016,44610
diyarbakir,egil,21631,21878,22125,22372,22744,23114,23361,23608
diyarbakir,ergani,87467,90243,93020,95796,99961,104125,106902,109678
diyarbakir,hani,31794,31758,31723,31687,31634,31580,31545,31509
diyarbakir,hazro,18755,18709,18663,18617,18548,18478,18432,18386
diyarbakir,kocakoy,13069,13399,13728,14058,14552,15046,15376,15705
diyarbakir,kulp,40454,39830,39207,38583,37647,36712,36088,35464
diyarbakir,lice,24877,25587,26298,27008,28074,29139,29850,30560
diyarbakir,merkez,721463,734582,747701,760820,780498,800176,813295,826414
diyarbakir,silvan,116298,112742,109186,105630,100297,94963,91407,87851
duzce,akcakoca,43895,43026,42157,41288,39986,38682,37813,36944
duzce,cilimli,16849,16782,16716,16649,16550,16449,16383,16316
duzce,cumayeri,13348,13280,13212,13144,13043,12941,12873,12805
duzce,golyaka,19612,19615,19618,19621,19627,19631,19634,19637
duzce,gumusova,18043,17604,17164,16725,16066,15406,14967,14527
duzce,kaynasli,21639,21545,21451,21357,21217,21076,20982,20888
duzce,merkez,159690,162653,165616,168579,173025,177469,180432,183395
duzce,yigilca,21190,20893,20597,20300,19855,19410,19113,18816
edirne,enez,11929,11777,11625,11473,11246,11018,10866,10714
edirne,havsa,24027,23715,23404,23092,22624,22157,21845,21533
edirne,ipsala,33564,33149,32733,32318,31695,31071,30656,30240
edirne,kesan,77637,77613,77588,77564,77528,77491,77466,77442
edirne,lalapasa,10154,9936,9717,9499,9171,8843,8625,8406
